split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Age,Native_Language,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,281474976888936_f2388_chunk_1.wav,,2.2556875,Female,18-30,Konkani,parakeet_ctc,whisper_norm,gold,@upi,upi,at the rate of u p i,at the rate of u p i,7.0,5.6667,0.0,7.0
test,281474976884349_f1690_chunk_0.wav,,0.85275,Female,18-30,Tamil,parakeet_ctc,whisper_norm,gold,Tiruvannamalai,tiruvannamalai,did it run on the late,did it run on the late,6.0,1.1429,0.0,6.0
test,281474976884349_f1690_chunk_3.wav,,0.790625,Female,18-30,Tamil,parakeet_ctc,whisper_norm,gold,Dharmapuri,dharmapuri,and tied him up woody,and tied him up woody,5.0,1.8,0.0,5.0
test,281474976895273_f2716_chunk_1.wav,,1.705625,Male,30-45,Kashmiri,parakeet_ctc,whisper_norm,gold,RSRTC.,rsrtc,r s r t c,r s r t c,5.0,0.8,0.0,5.0
test,281474976888614_f1702_chunk_3.wav,,0.7618125,Male,45-60,Kannada,parakeet_ctc,whisper_norm,gold,Jakarta,jakarta,you got it do,you got it do,4.0,1.7143,0.0,4.0
test,281474976887081_f2283_chunk_7.wav,,0.694,Female,30-45,Gujarati,parakeet_ctc,whisper_norm,gold,Halarda,halarda,i let it up,i let it up,4.0,1.4286,0.0,4.0
test,281474976901658_f1671_chunk_2.wav,,0.8825625,Female,45-60,Kannada,parakeet_ctc,whisper_norm,gold,dakshina kannada,dakshina kannada,that she didn't come read up,that she did not come read up,3.5,1.3125,0.0,3.5
test,281474976888938_f2386_chunk_2.wav,,7.4673125,Female,18-30,Konkani,parakeet_ctc,whisper_norm,gold,76899233753@upi,76899233753 upi,seven six eight nine nine two three three seven five three at the rate of u p i,76899233753 at the rate of u p i,3.5,1.1333,0.5,4.0
test,281474976899578_f2277_chunk_4.wav,,0.8405,Female,45-60,Bengali,parakeet_ctc,whisper_norm,gold,method.,method,it's hard,it is hard,3.0,1.3333,0.0,3.0
test,281474976893988_f2006_chunk_0.wav,,0.8258125,Female,45-60,Telugu,parakeet_ctc,whisper_norm,gold,Bharti,bharti,but i did,but i did,3.0,1.1667,0.0,3.0
test,281474976898115_f1790_chunk_4.wav,,0.63075,Female,18-30,Odia,parakeet_ctc,whisper_norm,gold,Sundargarh,sundargarh,on their good,on their good,3.0,1.1,0.0,3.0
test,281474976889296_f1847_chunk_4.wav,,0.7890625,Male,18-30,Urdu,parakeet_ctc,whisper_norm,gold,Krishnakant,krishnakant,pata can't,pata can not,3.0,0.8182,0.0,3.0
test,281474976900333_f1733_chunk_1.wav,,0.6526875,Male,45-60,Kashmiri,parakeet_ctc,whisper_norm,gold,Ikra,ikra,you coulda,you could have,3.0,3.25,0.0,3.0
test,281474976885720_f1734_chunk_0.wav,,0.8280625,Female,18-30,Gujarati,parakeet_ctc,whisper_norm,gold,IPL,ipl,i be i,i be i,3.0,1.6667,0.0,3.0
test,281474976895330_f1883_chunk_4.wav,,0.6163125,Male,30-45,Kashmiri,parakeet_ctc,whisper_norm,gold,achievements,achievements,that you went,that you went,3.0,0.8333,0.0,3.0
test,281474976893816_f854_chunk_0.wav,,0.6400625,Female,18-30,Bodo,parakeet_ctc,whisper_norm,gold,Forward,forward,for a while,for a while,3.0,1.0,0.0,3.0
test,281474976888614_f1702_chunk_5.wav,,0.7536875,Male,45-60,Kannada,parakeet_ctc,whisper_norm,gold,Rawalpindi,rawalpindi,dollar to d,dollar to d,3.0,1.0,0.0,3.0
test,281474976899571_f2000_chunk_2.wav,,0.853,Female,45-60,Bengali,parakeet_ctc,whisper_norm,gold,Istanbul,istanbul,is stand good,is stand good,3.0,1.0,0.0,3.0
test,281474976896170_f422_chunk_0.wav,,0.7569375,Male,60+,Kannada,parakeet_ctc,whisper_norm,gold,Previous,previous,the b yes,the b yes,3.0,0.875,0.0,3.0
test,281474976888161_f1851_chunk_13.wav,,0.690875,Male,30-45,Maithili,parakeet_ctc,whisper_norm,gold,Rasgulla,rasgulla,us good luck,us good luck,3.0,1.25,0.0,3.0
